week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL,dominant_topic,second_topic,dominant_topic_prob,second_topic_prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,dominant_topic_label,second_topic_label
1989-08-31,0.6289225100819553,0.6818535197145017,0.6339289411612874,0.1541473204315653,119.39901320585128,-9.674739001332668,0.0585539069499132,0.024283673347621,0.1752467431462839,5.470218324903483,0.7028981388426666,0.067305,0.775655,0.1570524999999999,0.55717,100.0,0.0111159850477691,38.2825,9.0275,1989.0,8.0,227.5,32.5,3.0,0.0,1989-08-01,0,5.2,5695.365,124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,0.6251739608217869,0.6830530578117534,0.6388470735785953,0.1332754426182512,118.01729536550404,-9.700439034878164,0.0492824343048255,0.0242565886287625,0.188348177257525,5.560033444816054,0.6949593884376493,0.069442,0.770402,0.160178,0.512907,100.0,0.0021739130434782,36.912,8.616,1989.0,9.0,259.0,37.0,3.0,0.0,1989-09-01,0,5.3,5695.365,124.8,20,14,0.10808883,0.08156057,0.034808204,0.029983496,0.03737246,0.033114377,0.010942914,0.00820631,0.066109315,0.023021922,0.020535944,0.018287396,0.022841573,0.01946528,0.011369875,0.021521723,0.08156057,0.019048987,0.03760996,0.04546516,0.046626993,0.030142188,0.10808883,0.06511568,0.02005147,0.008187618,0.02520378,0.026783321,0.020730544,0.03647635,0.013525208,0.0578026,,
1989-10-31,0.6164573544433095,0.6780045965270685,0.6231442639172625,0.1451178036261491,117.51852681307456,-9.718664836567926,0.0460402515321756,0.0203184971910111,0.176334872957099,5.53239913176711,0.6883299284984679,0.072485,0.7712549999999999,0.1562825,0.4939424999999999,100.0,0.0,37.765,8.2775,1989.0,10.0,290.5,41.5,4.0,0.0,1989-10-01,0,5.3,5747.237,125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-11-30,0.6088228361198188,0.6827635340473702,0.613827425113201,0.1515118552377219,118.62926926375827,-9.391059214994776,0.0446976171194705,0.0170202974464472,0.1742019224573318,5.187769940787183,0.6451062347614072,0.0751174999999999,0.76895,0.1559475,0.4878227499999999,100.0,0.0,38.4025,8.3725,1989.0,11.0,318.5,45.5,4.0,1.0,1989-11-01,0,5.4,5747.237,125.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,0.6163590903111287,0.6902339961976158,0.6166555821862607,0.1543140155310672,118.6528077144948,-9.40185122612372,0.0469937955362532,0.0246921529011349,0.1652323054962371,5.784113743145847,0.6460227442240905,0.07853,0.772634,0.1488359999999999,0.4457929999999999,100.0,0.0,38.224,8.606,1989.0,12.0,350.0,50.0,4.0,1.0,1989-12-01,0,5.4,5747.237,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-31,0.6250426136363636,0.6731107954545454,0.6092272727272727,0.1535956732954544,118.26381534090908,-9.530951704545457,0.0474249999999999,0.0218255426136363,0.1666920454545453,5.951704545454546,0.6818181818181818,0.0793425,0.77569,0.14497,0.42066475,100.0,0.002840909090909,36.275,10.1,1990.0,1.0,16.5,2.5,1.0,0.0,1990-01-01,0,5.4,5872.701,127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-28,0.6280336212937607,0.675415164039251,0.6033271885893525,0.1605557105393598,118.92989241826793,-9.31214437588585,0.0496159338293756,0.014476721427681,0.171146928171534,5.653981813758536,0.7429131242868482,0.07375,0.7801499999999999,0.1460849999999999,0.40561725,100.0,0.0114304378175308,35.145,9.8425,1990.0,2.0,44.5,6.5,1.0,0.0,1990-02-01,0,5.3,5872.701,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-31,0.6221129964690196,0.6767239425421147,0.5998082403215452,0.1628193426738642,118.90177138787158,-9.415850736776775,0.0499491576439907,0.0102992997675114,0.1671229419227186,5.381349989719966,0.7471917552756511,0.075074,0.776238,0.148688,0.4076323999999999,100.0,0.0113915412652606,36.294,9.528,1990.0,3.0,76.0,11.0,1.0,0.0,1990-03-01,0,5.2,5872.701,128.6,20,6,0.102725565,0.09416485,0.028904181,0.035536982,0.045797333,0.039324347,0.014978464,0.02079629,0.09416485,0.030493572,0.017559607,0.014937206,0.011743253,0.01777158,0.008239351,0.02036432,0.0906485,0.027347377,0.018217888,0.035003856,0.03579309,0.025008133,0.102725565,0.05670645,0.018166313,0.019745056,0.029978124,0.017157555,0.022944493,0.03290408,0.01830062,0.0487416,,
1990-04-30,0.6303163957645437,0.6678583145770483,0.6213384259864123,0.1503485123613321,117.43916467176996,-9.67349011583367,0.049888571706416,0.0190834044468726,0.1725459644541178,5.511411145687341,0.7473721405325795,0.0725,0.7777575,0.14975,0.4166432499999999,100.0,0.0084588866189989,36.995,8.4775,1990.0,4.0,107.5,15.5,2.0,0.0,1990-04-01,0,5.4,5960.028,128.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-31,0.6335932592002318,0.6645164541678741,0.6153216386554622,0.1390337855174828,115.13217914493384,-9.68069260963006,0.0578938207524388,0.0201136408396116,0.1891570242924755,5.156905003380663,0.7462547087800637,0.0722574999999999,0.7887,0.139085,0.43620775,100.0,0.0,38.0525,8.0375,1990.0,5.0,135.5,19.5,2.0,0.0,1990-05-01,0,5.4,5960.028,129.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
