week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL
1979-12-31,0.6100333838383838,0.6089802929292929,0.6651548888888889,0.26878703308080804,122.93782434343434,-10.255810757575757,0.05842432828282822,0.05834446363636357,0.1739913989898989,5.230050505050505,0.7794949494949495,0.063158,0.785738,0.15111,0.5037474,100.0,0.0,41.971999999999994,7.534000000000001,1979.0,12.0,349.0,50.0,4.0,1.0,1979-12-01,0,6.0,2723.883,76.9
1980-01-31,0.602691219976633,0.5841439692715701,0.6495188833725285,0.28052770825824674,122.35988179984022,-10.456735991848602,0.054783332169491376,0.04991680288910608,0.17239563529249216,5.488212534051762,0.7677977708297667,0.0639875,0.7902125,0.14578750000000001,0.47413299999999997,100.0,0.0,42.21,8.175,1980.0,1.0,15.5,2.5,1.0,0.0,1980-01-01,0,6.3,2789.842,78.0
1980-02-29,0.5924150501039062,0.5711474843847228,0.6709263326553015,0.2672783999991194,123.98872795883085,-10.633980162434105,0.051280670334202076,0.0436321945723703,0.1641652917444495,5.445165281251101,0.7577570063282966,0.05908499999999997,0.78521,0.15568749999999998,0.54860725,100.0,0.0,41.5325,7.9775,1980.0,2.0,43.5,6.5,1.0,0.0,1980-02-01,1,6.3,2789.842,79.0
1980-03-31,0.6014670756344198,0.5761738466041966,0.6652082530373526,0.28259690504476376,121.10577822482507,-10.693618089864326,0.05037914061561858,0.03426907517831662,0.16499655649059744,5.4751173556639205,0.7916954793627482,0.057957999999999975,0.7844,0.15762199999999998,0.6150990000000001,100.0,0.0,40.674,7.837999999999999,1980.0,3.0,75.0,11.0,1.0,0.0,1980-03-01,1,6.3,2789.842,80.1
1980-04-30,0.5917272166390066,0.5460451799434507,0.6131269619368123,0.30008315107259204,121.31610491847994,-10.925528329568506,0.044690545208679024,0.034066870722693425,0.16038356260372483,5.578911580306103,0.758840432724814,0.06428749999999997,0.77774,0.15797,0.5505465,100.0,0.0,42.3525,7.48,1980.0,4.0,106.5,15.5,2.0,0.0,1980-04-01,1,6.9,2797.352,80.9
1980-05-31,0.6062570942514172,0.5625387246640379,0.631832909990206,0.30409815776817795,119.76660167990126,-10.744612092540205,0.045541351967348556,0.039295643247445,0.16841674649292396,5.390476645585982,0.7884253747374016,0.06649199999999997,0.784094,0.14944,0.4669428,100.0,0.009333482609344659,40.298,7.542,1980.0,5.0,138.0,20.0,2.0,0.0,1980-05-01,1,7.5,2797.352,81.7
1980-06-30,0.6148375489310448,0.5914381059921711,0.6505942110809997,0.25310806146492015,119.0392652815417,-10.234630118940078,0.046708777476663604,0.052498657181571776,0.16673579870520924,4.926339957844023,0.7692713038241493,0.0715875,0.78523,0.1431575,0.437029,100.0,0.0,41.0325,7.59,1980.0,6.0,169.5,24.5,2.0,0.0,1980-06-01,1,7.6,2797.352,82.5
1980-07-31,0.6108056122297154,0.6052247470586266,0.6567047854740977,0.25437701872324114,120.6280543140453,-10.045259803803049,0.0466711041913873,0.0463211678889066,0.18132642911875965,5.010896007617999,0.8081267645450589,0.06376499999999997,0.79123,0.1449725,0.54404125,100.0,0.0,42.1125,7.27,1980.0,7.0,197.5,28.5,3.0,0.0,1980-07-01,1,7.8,2856.483,82.6
1980-08-31,0.614120640620295,0.5991302988557663,0.6491884367660343,0.2736263963489912,121.21049277551943,-10.077604374435412,0.04644523795543508,0.03335466987654316,0.19186949774164405,4.939151610960554,0.821810448660042,0.06564999999999996,0.790424,0.14392599999999997,0.5287767999999999,100.0,0.0,40.132,7.8340000000000005,1980.0,8.0,229.0,33.0,3.0,0.0,1980-08-01,0,7.7,2856.483,83.2
1980-09-30,0.6370473532400764,0.588067469268647,0.672825017164612,0.2908210285675381,120.25395483177462,-10.416097651309846,0.045257667588828626,0.024443745246824952,0.1928350421172308,5.119709469153515,0.7776545645358415,0.06601749999999998,0.8011925,0.13281500000000002,0.498062,100.0,0.0,39.305,8.095,1980.0,9.0,260.5,37.5,3.0,0.0,1980-09-01,0,7.5,2856.483,83.9
1980-10-31,0.6344723245924875,0.5824512402551383,0.683039968107725,0.28219720481927707,123.26583908575478,-10.560226293408931,0.04527824592487593,0.01673393433734935,0.19725686746987947,5.211020552799432,0.7648121899362155,0.0627975,0.8065875,0.13066,0.51541925,100.0,0.0,38.025,8.307500000000001,1980.0,10.0,288.5,41.5,4.0,0.0,1980-10-01,0,7.5,2985.557,84.7
1980-11-30,0.6207365269481286,0.5768637487766191,0.6734452158212683,0.27968524000877454,125.28367701123823,-10.701615400762714,0.04570488653774758,0.01621684161958756,0.19572507866761157,5.052256758124937,0.8113509500185616,0.058347999999999976,0.79985,0.141868,0.5588964,100.0,0.0,37.258,8.4,1980.0,11.0,320.0,46.0,4.0,1.0,1980-11-01,0,7.5,2985.557,85.6
1980-12-31,0.615575774800698,0.5903029097284462,0.6662244202163624,0.269630353774549,125.86809738745538,-10.272172681494409,0.04700447886692762,0.017042745298520325,0.1870898440571096,4.837837869710835,0.8260031919744641,0.0598875,0.7773300000000001,0.162825,0.609985,100.0,0.0,37.735,8.432500000000001,1980.0,12.0,351.5,50.5,4.0,1.0,1980-12-01,0,7.2,2985.557,86.4
1981-01-31,0.6038415531163379,0.5895937351222675,0.6496611814599105,0.25740896781566536,124.3828240323299,-10.115953124787644,0.04627007262975052,0.01925912043435648,0.20142750291434425,5.072634958250187,0.8027682936399749,0.06077799999999996,0.772254,0.16699,0.6057442,100.0,0.00212765957446808,35.908,10.14,1981.0,1.0,17.0,3.0,1.0,0.0,1981-01-01,0,7.5,3124.206,87.2
1981-02-28,0.5996577255445167,0.5778371712810897,0.629702562091306,0.25579169025927306,119.45284409869006,-10.128804196273798,0.04612126006178958,0.02128521689139325,0.21372748898482688,5.56769089195522,0.7911696070316094,0.06550499999999998,0.7765025,0.157975,0.5598227499999999,100.0,0.010699165925015224,37.6525,9.145,1981.0,2.0,48.5,7.5,1.0,0.0,1981-02-01,0,7.4,3124.206,88.0
1981-03-31,0.6090210519817261,0.5972297814545006,0.6259937399678972,0.24792563875169765,117.71800833436228,-9.893047660204964,0.044484862328682526,0.0180997957463884,0.1959132608964069,5.766823064575874,0.7596925546363749,0.07518749999999998,0.7703825000000001,0.15438499999999997,0.473086,100.0,0.002747252747252725,38.5925,8.5775,1981.0,3.0,76.5,11.5,1.0,0.0,1981-03-01,0,7.4,3124.206,88.6
1981-04-30,0.607533574879227,0.59422711352657,0.6281535265700483,0.2666275960748792,116.91118037439612,-9.974349516908212,0.042214251207729425,0.017155664371980624,0.18704120772946853,5.343236714975845,0.7541666666666667,0.07907999999999996,0.765705,0.15518749999999995,0.44397624999999996,100.0,0.0,39.75,8.185,1981.0,4.0,104.5,15.5,2.0,0.0,1981-04-01,0,7.2,3162.532,89.1
1981-05-31,0.6174590283269066,0.5813948288502558,0.644571745459339,0.30947789284270527,117.99102336051085,-10.045905928757847,0.044982022011464264,0.01006008229704816,0.16462471461481035,4.863450851438409,0.763339369408594,0.07342799999999998,0.7738940000000001,0.15269799999999997,0.5032168,100.0,0.0,37.904,8.565999999999999,1981.0,5.0,136.0,20.0,2.0,0.0,1981-05-01,0,7.5,3162.532,89.7
1981-06-30,0.625825997372193,0.5868980530339225,0.6543690575728619,0.30704092271858574,118.51992143454372,-10.22132525083612,0.04348709687052073,0.01069096207596745,0.15914032787864307,4.893334925943622,0.7813843764930721,0.0694775,0.7923049999999999,0.1382,0.5242487499999999,100.0,0.0,38.207499999999996,8.182500000000001,1981.0,6.0,167.5,24.5,2.0,0.0,1981-06-01,0,7.5,3162.532,90.5
1981-07-31,0.6174613324913625,0.5782094511221438,0.6303527080974363,0.30471902442078214,118.66891584429347,-10.354493002206544,0.04332842174026648,0.009821663844612801,0.15180395341578834,5.249603693058096,0.7091680457567575,0.0665275,0.7954275,0.1380225,0.50510275,100.0,0.0,39.5125,8.2675,1981.0,7.0,195.5,28.5,3.0,0.0,1981-07-01,0,7.2,3260.609,91.5
1981-08-31,0.6133433323674297,0.5834620235680479,0.6159076696609678,0.29592498466628026,121.55515587752343,-10.121972985608036,0.04480389181879642,0.01361992278663186,0.1727038272964358,5.028050806529508,0.7043175891046074,0.057782,0.79744,0.144788,0.5692616,100.0,0.0,39.092,8.267999999999999,1981.0,8.0,227.0,33.0,3.0,0.0,1981-08-01,1,7.4,3260.609,92.2
1981-09-30,0.6182824292970199,0.5835350266612669,0.6025056455232695,0.3113469616491174,122.28485621182207,-9.926359319631466,0.04597357045830375,0.0255863068349026,0.18232966989807967,4.667879923053559,0.7083839559920353,0.068525,0.7899875,0.141505,0.48850374999999996,100.0,0.0,37.4375,8.837499999999999,1981.0,9.0,258.5,37.5,3.0,0.0,1981-09-01,1,7.6,3260.609,93.1
1981-10-31,0.6065656724169584,0.5830231731720172,0.6059711911039256,0.29383342454548406,124.41811426460224,-9.991708696501856,0.0457969923487365,0.01946263696729848,0.1913626083672369,4.439445549890147,0.7085299151373022,0.068816,0.798902,0.132364,0.43355319999999997,100.0,0.0,38.608,8.472,1981.0,10.0,290.0,42.0,4.0,0.0,1981-10-01,1,7.9,3280.818,93.4
1981-11-30,0.59051385003885,0.5718390096015096,0.6034323884448884,0.28560190670440666,123.51712322816073,-10.24261513000888,0.04627593961593955,0.023445561929043124,0.20279010822510818,4.587580475080475,0.7298035298035298,0.07879999999999998,0.7761375,0.145115,0.45523625,100.0,0.0,38.207499999999996,8.1525,1981.0,11.0,321.5,46.5,4.0,1.0,1981-11-01,1,8.3,3280.818,93.8
1981-12-31,0.57954541967286,0.5676083629993565,0.5883491282039099,0.2921408793585026,121.504224724178,-10.163379706819008,0.0454186932635601,0.02748059156089355,0.20567903911676066,4.593831238554417,0.7600253802861973,0.071535,0.7742450000000001,0.154255,0.47330274999999994,100.0,0.0,37.6775,8.6875,1981.0,12.0,349.5,50.5,4.0,1.0,1981-12-01,1,8.5,3280.818,94.1
